name,name_alt,geom,code_hasc,statefp,statefp_nu,sq_mi,pers_sq_mi,acs_14_5yr,total_pop,pop_16up,lab_for,employed,unemp_rate,hh_est,hh_med_inc,hh_mea_inc
Michigan,MI|Mich.,"POLYGON((-90.0148101468349 47.1995999212461, -90.0714475166268 47.1117499863499, -90.1280590482026 47.0239000514537, -90.1852131823174 46.9360759547736, -90.2418247138932 46.8482260198775, -90.2989788480079 46.7609186875203, -90.3555903795837 46.6730687526241, -90.3952778795838 46.6116771510614, -90.4106257799746 46.5841852890821, -90.3968798489849 46.5762529567253, -90.3349714830992 46.5968718532098, -90.3339121162372 46.5936937526238, -90.1767382474215 46.5608792181185, -90.0963038805592 46.3809935573105, -89.8774929471273 46.3362740647159, -89.6586820136955 46.2915545721213, -89.4398710802636 46.2468350795268, -89.2210601468317 46.2021155869322, -89.0768635220753 46.1571377121762, -88.9326668973189 46.1121598374201, -88.7884702725624 46.0671819626641, -88.644273647806 46.0222040879081, -88.3617069160341 46.0206279567232, -88.1669642809421 46.0079155543795, -88.1119288805513 45.8433519557458, -87.8754058499514 45.7798416204591, -87.7870133125161 45.6396176214351, -87.8478881497559 45.5591832545728, -87.8933892483889 45.3967125514472, -87.6732476468256 45.3877466904445, -87.747325812516 45.2268779567199, -87.6139747789868 45.1088748235814, -87.6129154121248 45.1104509547663, -87.4594622464341 45.0681279567193, -87.4197747464339 45.1840123561338, -87.2446174791806 45.2898456894677, -87.1155039130994 45.4522905543771, -86.9448554145635 45.4522905543772, -86.7742069160277 45.4522905543772, -86.6278850979932 45.3877337713365, -86.4815632799588 45.3231769882958, -86.2645997789814 45.2268779567199, -86.4016715156356 45.1332144231909, -86.5360819160267 45.0416696233859, -86.6255079821078 44.9440399236784, -86.7149340481889 44.846410223971, -86.8223435127076 44.5913353541783, -86.9186683824996 44.3616852890733, -86.9755512153449 44.2264868230896, -87.0324340481902 44.091288357106, -87.0832319811331 43.8901895208423, -87.1419622464328 43.6578781194741, -87.1451403470188 43.5710875514399, -87.1551914130995 43.3266321884832, -87.1139277819145 43.0302936875054, -87.0795371162242 42.7821176214237, -87.039307013685 42.4926520859409, -87.084808112318 42.3095624863307, -87.1303350491671 42.1270154892596, -87.1758361478001 41.9439258896495, -87.2213372464331 41.7608362900394, -87.0228997464323 41.7608362900394, -86.8244622464316 41.7608362900394, -86.8244622464316 41.7560562200524, -86.5553830634878 41.7548676621097, -86.286303880544 41.753679104167, -86.0172246976002 41.7524905462243, -85.7481455146564 41.7513019882816, -85.5129337735259 41.7524905462243, -85.2777220323954 41.753679104167, -85.0425102912649 41.7548676621097, -84.8072985501344 41.7560562200524, -84.8067559475953 41.6777405869141, -84.5509059313183 41.6814483709311, -84.2950559150412 41.685156154948, -84.067511664552 41.685156154948, -83.8399674140628 41.685156154948, -83.6513225979813 41.6896520045573, -83.4626777818999 41.6941478541667, -83.3023387316063 41.8349144557298, -83.1419996813127 41.9756810572928, -83.1287705146459 42.0688019882829, -83.1197788154271 42.0799124212256, -83.0099793159149 42.2550696884789, -82.9001798164028 42.4302269557322, -82.7825707160605 42.5676798060746, -82.6649616157183 42.7051326564169, -82.547352515376 42.8425855067592, -82.4297434150337 42.9800383571016, -82.41703101269 43.0176071233778, -82.3037950304304 43.2459394394595, -82.1905590481708 43.4742717555412, -82.137642381504 43.5710875514398, -82.1963726468036 43.8224417181077, -82.2408402167908 44.0156082220146, -82.2810444811138 44.1923416204529, -82.3265455797469 44.3912958847766, -82.368351813471 44.5728093532018, -82.4075225491482 44.7437291530071, -82.4466674466094 44.9157083196744, -82.4852955797475 45.083992621433, -82.5154746162059 45.2041144882954, -82.5509246487582 45.3475165879053, -82.7604725817017 45.4475104843902, -82.9192225817023 45.5179196233879, -83.038679114499 45.57070063942, -83.1581356472958 45.6234816554521, -83.2775921800925 45.6762626714842, -83.3970487128892 45.7290436875163, -83.5928507148431 45.8168936224124, -83.4695507473947 45.9946863877126, -83.6161309475906 46.1169269882992, -83.6690476142574 46.1227405869319, -83.7632279121094 46.1089688177261, -83.8907653470058 46.1169269882992, -83.9913083055836 46.1961727972187, -84.0918512641614 46.2754186061383, -84.1151444160171 46.3709166530136, -84.1283735826837 46.4836487900583, -84.1421195136734 46.5122258571158, -84.3367 46.4087700000001, -84.6049 46.4396, -84.543231981123 46.5386841904493, -84.5437487454458 46.5386841904493, -84.6614934964228 46.5878930730992, -84.7792382473999 46.6371019557491, -84.8268580797569 46.7667322861533, -84.8760798815148 46.9000833196824, -85.0702799140678 46.9800009222218, -85.2639631822977 47.059892686545, -85.4581632148505 47.1398102890844, -85.6523632474034 47.2202188177305, -85.8465632799563 47.30013642027, -86.0402465481862 47.3800540228093, -86.234446580739 47.4599457871326, -86.4286466132918 47.5398375514558, -86.4953350491646 47.5668384873283, -86.6720684476028 47.6361624212479, -86.7969574653441 47.6856426051674, -86.9218464830855 47.7351227890869, -87.064977281426 47.7917472397707, -87.2081080797664 47.8483716904544, -87.3512517972149 47.9049832220302, -87.4943955146634 47.9615947536059, -87.7153251818192 48.0469254624279, -87.936254848975 48.1322561712498, -88.1571845161309 48.2175868800718, -88.3781141832867 48.3029175888938, -88.5799881660349 48.2390196803649, -88.7818621487831 48.175121771836, -88.9837361315313 48.1112238633071, -89.1856101142795 48.0473259547782, -89.2729174466367 48.0198082545827, -89.488884557221 48.0152632178358, -89.5226954821193 47.9605353867439, -89.6136976793854 47.819252020858, -89.728005947615 47.6419760198806, -89.8428309801675 47.4647258571195, -89.9576560127201 47.2869072536032, -90.0148101468349 47.1995999212461))",US.MI,26,26,96824.436,102.1,0400000US26,9889024,7893971,61.5,54.4,11.4,3827880,49087,65790
West Virginia,WV|W.Va.,"POLYGON((-81.9280944485604 37.3660916204255, -81.8153877258301 37.2756061553955, -81.6635112762451 37.1951732635498, -81.5058205625969 37.2555047767857, -81.3481298489487 37.3158362900216, -81.2280082702637 37.245454788208, -81.0414691247094 37.2872601224481, -80.8549299791551 37.3290654566883, -80.833251953125 37.418493270874, -80.7200031280518 37.3830432891846, -80.5961856842041 37.4560604095459, -80.456995010376 37.4417743682861, -80.2982453332133 37.5190292003054, -80.2765675567773 37.6105743098124, -80.2929744720459 37.7280597686768, -80.1575050354004 37.9010982513428, -79.9643634840136 38.0317895185607, -79.915142381495 38.1794269882673, -79.8294108227479 38.2683241831316, -79.7436792640007 38.3572213779959, -79.6479225158691 38.574728012085, -79.5150890350342 38.4974460601807, -79.3663902282715 38.4260272979736, -79.2229881286621 38.4646320343018, -79.174825668335 38.5556583404541, -79.0764083862305 38.6800174713135, -78.9652778795381 38.8218167180875, -78.89280128479 38.7800388336182, -78.7446193695068 38.9091510772705, -78.5488433499141 39.039839585927, -78.4244842529297 39.1393184661865, -78.3456249237061 39.4055042266846, -78.2179649713381 39.3377687915929, -78.0903050189701 39.2700333565013, -77.9626450666021 39.2022979214097, -77.8349851142341 39.134562486318, -77.7227955797285 39.3224321559151, -77.8016538154059 39.4499437525953, -77.9233518134532 39.5928290878823, -78.077877265114 39.6325165878825, -78.2324027167748 39.6722040878827, -78.4250007799266 39.5965239527912, -78.5340122138463 39.5224457871008, -78.6816517809042 39.5425479192623, -78.8292913479621 39.5626500514238, -78.9631591458142 39.4579019231683, -79.161079881492 39.4182144231681, -79.3325164456203 39.3028467880765, -79.4859954495272 39.2134207219955, -79.4775205146314 39.7208832871017, -79.7378728400719 39.7208832871017, -79.9982251655123 39.7208832871016, -80.2585774909528 39.7208832871016, -80.5189298163933 39.7208832871016, -80.5189298163933 40.6411113551391, -80.6575518460162 40.5908301865191, -80.6152288479692 40.4638353541618, -80.6617893134642 40.2336426865177, -80.7649871487511 39.9732968206312, -80.861828782866 39.7573926865158, -80.8787528144416 39.654220689445, -81.0147522651258 39.5401837224849, -81.1507517158099 39.4261467555249, -81.2660935126853 39.3774417180898, -81.4010465156156 39.3494072535714, -81.52222774934 39.3716281194569, -81.6336162991452 39.2856385361233, -81.7450048489503 39.1996489527896, -81.7857517158124 39.0192206894425, -81.8169642809167 38.9218364527885, -81.9058735826749 38.8821489527883, -81.9185601468025 38.9937958847549, -82.0540299140557 39.0181613225805, -82.1947965156187 38.8011978216031, -82.2106611803324 38.5794800888548, -82.3408341132756 38.4408322210157, -82.5890101793573 38.4154332545443, -82.5699674140577 38.3201935898303, -82.5805610826776 38.1132811549337, -82.4614985826771 37.9571666529799, -82.4133361477811 37.8053154566903, -82.2672985501243 37.6756592880699, -82.1672788154233 37.5544780543455, -81.9725361803314 37.5359520533689, -81.9280944485604 37.3660916204255))",US.WV,54,54,24133.043,76.8,0400000US54,1853881,1513749,54.3,49.8,8.2,742359,41576,55976
South Carolina,SC|S.C.,"POLYGON((-80.7240864125889 32.1522097419145, -80.583165941726 32.2712581612764, -80.442245470863 32.3903065806382, -80.301325 32.5093550000001, -80.164105625 32.5904843750001, -80.02688625 32.6716137500001, -79.889666875 32.7527431250001, -79.7524475 32.8338725000001, -79.615228125 32.9150018750001, -79.47800875 32.9961312500001, -79.340789375 33.0772606250001, -79.20357 33.1583900000001, -79.13212 33.32617, -79.06067 33.49395, -78.934031086502 33.5858179551517, -78.807392173004 33.6776859103035, -78.6807532595059 33.7695538654552, -78.5541143460079 33.8614218206069, -78.6939475420127 33.9796897954609, -78.8337807380175 34.0979577703148, -78.9736139340222 34.2162257451688, -79.113447130027 34.3344937200228, -79.2532803260318 34.4527616948768, -79.3931135220365 34.5710296697307, -79.5329467180413 34.6892976445847, -79.6727799140461 34.8075656194387, -79.9504632229665 34.8100848455129, -80.2281465318869 34.8126040715871, -80.5058298408073 34.8151232976614, -80.7835131497277 34.8176425237356, -80.7808518134647 34.9340436874731, -80.9374830797413 35.1033873560936, -81.0380195787651 35.0372415227599, -81.0459777493381 35.1256082219791, -81.2801236640526 35.1486300725651, -81.5142695787671 35.171651923151, -81.7448562792075 35.173764197321, -81.9754429796478 35.175876471491, -82.2060296800882 35.1779887456609, -82.4366163805285 35.1801010198309, -82.5715564643507 35.1372418787988, -82.7064965481729 35.0943827377667, -82.841436631995 35.0515235967346, -82.9763767158172 35.0086644557025, -83.076370612302 34.9790280217831, -83.1859246487608 34.895958156874, -83.3462507799463 34.7065123560919, -83.2113106961241 34.6234295720746, -83.076370612302 34.5403467880574, -82.9028153144497 34.4794977890337, -82.8096814643517 34.3212774724641, -82.7165476142536 34.1630571558945, -82.5974851142532 33.9857811549172, -82.4233872138618 33.8672483383477, -82.2492893134705 33.7487155217782, -82.18050798209 33.6243561874679, -82.0619751655205 33.5428624537436, -81.943442348951 33.4613687200192, -81.8270153469974 33.2232437200184, -81.6672059801348 33.1224359197249, -81.5073966132722 33.0216281194315, -81.4359539456287 32.7930374211884, -81.3767069160061 32.6824498560838, -81.4110975816963 32.6088884547164, -81.2248298815002 32.4993602564738, -81.1264121162004 32.3120331894157, -81.1279882473853 32.1215280217717, -81.0364434475803 32.0844760198184, -80.8650068834519 32.0331613225526, -80.7240864125889 32.1522097419145))",US.SC,45,45,31083.665,152.1,0400000US45,4727273,3768421,61.2,53.9,10.6,1795715,45033,61196
District of Columbia,DC|D.C.,"POLYGON((-76.9115789456106 38.8784540878794, -77.0385996161841 38.9821686874892, -77.1195498648595 38.9340067776485, -77.0364799499512 38.8482761383057, -77.0412350157543 38.7895448536498, -76.9115789456106 38.8784540878794))",US.DC,11,11,61.747,10263.4,0400000US11,633736,536771,68.5,60.7,10.6,267415,69235,104615
Maine,ME|Maine,"POLYGON((-70.5133430116794 43.2385749897503, -70.3809520077862 43.3870666598336, -70.2485610038931 43.5355583299168, -70.11617 43.68405, -69.98414875 43.72104375, -69.8521275 43.7580375, -69.72010625 43.79503125, -69.5880849999999 43.8320250000001, -69.4560637499999 43.8690187500001, -69.3240424999999 43.9060125000001, -69.1920212499999 43.9430062500001, -69.0599999999999 43.9800000000001, -68.9315649999999 44.0231500000001, -68.8031299999999 44.0663000000001, -68.6746949999999 44.1094500000001, -68.5462599999999 44.1526000000001, -68.4178249999999 44.1957500000001, -68.2893899999999 44.2389000000001, -68.1609549999999 44.2820500000001, -68.0325199999999 44.3252000000001, -67.8990374999999 44.3857625000001, -67.7655549999999 44.4463250000001, -67.6320724999999 44.5068875000001, -67.49859 44.5674500000001, -67.3651075 44.6280125, -67.231625 44.688575, -67.0981425 44.7491375, -66.96466 44.8097, -67.0510017563144 44.9735759453195, -67.1373435126288 45.1374518906389, -67.3008606635084 45.2787352565249, -67.4643778143879 45.4200186224109, -67.6278949652675 45.5613019882968, -67.7914121161471 45.7025853541828, -67.7903527492851 47.066248887717, -67.90134080674 47.1383439703182, -68.0123288641948 47.2104390529194, -68.1233169216496 47.2825341355206, -68.2343049791045 47.3546292181218, -68.4019239467972 47.31217056944, -68.56954291449 47.2697119207581, -68.7371618821827 47.2272532720763, -68.9047808498755 47.1847946233944, -69.0709334988019 47.3162853053611, -69.2370861477283 47.4477759873279, -69.3324679226311 47.3534503495101, -69.4278496975338 47.2591247116924, -69.5232314724365 47.1647990738746, -69.6186132473393 47.0704734360568, -69.713995022242 46.976147798239, -69.8093767971447 46.8818221604213, -69.9047585720475 46.7874965226035, -70.0001403469502 46.6931708847857, -70.0763437059186 46.4985768194366, -70.152547064887 46.3039827540875, -70.2287504238554 46.1093886887385, -70.3049537828238 45.9147946233894, -70.3937209743932 45.8011516892255, -70.4824881659625 45.6875087550617, -70.5712553575319 45.5738658208979, -70.6600225491012 45.460222886734, -70.8724212745506 45.382731443367, -71.08482 45.30524, -71.0496563530145 44.8455148557961, -71.014492706029 44.3857897115922, -70.9793290590436 43.9260645673882, -70.9441654120581 43.4663394231843, -70.9817600165504 43.3678958196683, -70.8896855333143 43.2938176539779, -70.7976110500783 43.2197394882875, -70.7510247463672 43.0800322535864, -70.6457340155725 43.0900833196671, -70.5133430116794 43.2385749897503))",US.ME,23,23,32427.794,41,0400000US23,1328535,1095219,63.9,59,7.4,553086,48804,64327
Tennessee,TN|Tenn.,"POLYGON((-90.0029116482997 35.0209634465879, -89.7565830146725 35.0210926376686, -89.5102543810452 35.0212218287494, -89.2639257474179 35.0213510198301, -88.989685380799 35.0159314539935, -88.71544501418 35.0105118881569, -88.4412046475611 35.0050923223203, -88.1669642809421 34.9996727564837, -88.0098033312344 34.9996049311663, -87.8526423815268 34.9995371058489, -87.6954814318191 34.9994692805315, -87.5383204821114 34.9994014552141, -87.3811595324038 34.9993336298968, -87.2239985826961 34.9992658045794, -87.0668376329885 34.999197979262, -86.9096766832808 34.9991301539446, -86.7491406165891 34.9974765081113, -86.5886045498974 34.9958228622779, -86.4280684832057 34.9941692164446, -86.2675324165139 34.9925155706112, -86.1069963498222 34.9908619247779, -85.9464602831305 34.9892082789446, -85.7859242164388 34.9875546331112, -85.6253881497471 34.9859009872779, -85.4326350572984 34.9836530624732, -85.2398819648497 34.9814051376685, -85.047128872401 34.9791572128638, -84.8543757799523 34.9769092880591, -84.5876737128939 34.9819348210995, -84.3209716458356 34.9869603541399, -84.2987507799501 35.1986270208074, -84.0870841132826 35.2615947535551, -84.017760179363 35.3690042180737, -83.8759600491541 35.4902112900143, -83.6732850817054 35.5166696233478, -83.4383381822904 35.5626874863037, -83.2097216458311 35.648961290015, -83.1107871162084 35.7373279892341, -82.9202819485644 35.8172197535573, -82.9255787828743 35.8897217880628, -82.7999016995404 35.9574566716894, -82.6742246162066 36.0251915553159, -82.5932476468053 35.9373416204199, -82.4085689969022 36.0315348373799, -82.2238903469991 36.1257280543398, -82.0513944160088 36.1061426865012, -81.897398647779 36.2739102239367, -81.6936643134683 36.3172925888457, -81.7047747464111 36.4601520859166, -81.6793757799396 36.585570787089, -81.9328486803313 36.5757781031697, -82.1863215807229 36.5659854192504, -82.3721919092484 36.570219654436, -82.558062237774 36.5744538896216, -82.7439325662995 36.5786881248072, -82.929802894825 36.5829223599928, -83.1156732233505 36.5871565951785, -83.3015435518761 36.5913908303641, -83.4874138804016 36.5956250655497, -83.6732842089271 36.5998593007353, -83.5288227380084 36.6281776743544, -83.3843612670898 36.6564960479736, -83.3305924392278 36.6726606736321, -83.3843621487615 36.6564966904096, -83.5288236152334 36.6281780055137, -83.6732850817054 36.5998593206177, -83.8424866401371 36.5916556869914, -84.0116881985687 36.5834520533651, -84.1808897570004 36.5752484197387, -84.3500913154321 36.5670447861124, -84.5703556485222 36.5777611862589, -84.7906199816123 36.5884775864054, -85.0108843147023 36.599193986552, -85.2311486477924 36.6099103866985, -85.5190122138742 36.5977405868937, -85.8058164130941 36.6117578191529, -86.092620612314 36.6257750514121, -86.2389359707944 36.6277645940553, -86.3852513292748 36.6297541366986, -86.5315666877553 36.6317436793418, -86.6778820462357 36.633733221985, -86.947232530449 36.6363687200319, -87.2165830146623 36.6390042180788, -87.3729494392235 36.6319956019492, -87.5293158637847 36.6249869858196, -87.6856822883458 36.6179783696901, -87.842048712907 36.6109697535605, -87.8743464830894 36.6564966904096, -88.0727839830902 36.6543779566856, -88.0696058825042 36.4972040878699, -88.2481996325049 36.4983280502723, -88.4267933825056 36.4994520126746, -88.6053871325063 36.500575975077, -88.7839808825071 36.5016999374793, -88.9625746325078 36.5028238998816, -89.1411683825085 36.503947862284, -89.3197621325092 36.5050718246864, -89.4983558825099 36.5061957870887, -89.5242716133043 36.4093541529737, -89.585120612328 36.2670114202258, -89.6629194811434 36.023072821592, -89.6735131497633 35.9400029566828, -89.7751090156491 35.7992363551197, -89.9502662829024 35.7018779566818, -89.9888944160406 35.5362291529702, -90.1471018135021 35.404996853165, -90.1349320136974 35.1139551864972, -90.249240281927 35.0208342555072, -90.0029116482997 35.0209634465879))",US.TN,47,47,42073.974,153.3,0400000US47,6451365,5125250,61.4,55.3,9.5,2487349,44621,62344
Rhode Island,State of Rhode Island and Providence Plantations|RI|R.I.,"POLYGON((-71.6704647488123 41.3636899887683, -71.4871038479327 41.4073436549469, -71.3037429470531 41.4509973211254, -71.1203820461734 41.494650987304, -71.1478997463688 41.6475873886718, -71.3050736151846 41.7624124212243, -71.379151780875 42.0243602565118, -71.59003038195 42.0188050400404, -71.8009089830251 42.0132498235691, -71.7929508124521 41.4666165227856, -71.853825649692 41.3200363225898, -71.6704647488123 41.3636899887683))",US.RI,44,44,1056.27,997.1,0400000US44,1053252,862851,65.9,59.3,9.5,409569,56423,76618
Louisiana,LA,"POLYGON((-94.0293325467533 32.4773848536415, -93.9989080472414 31.9426500513933, -93.8348612129309 31.8299437525648, -93.7793090482171 31.6754312200122, -93.694120449584 31.443662421183, -93.5782360501694 31.2161310898019, -93.4898435127342 31.0796019556869, -93.5861683825263 30.7139395207896, -93.6501954821359 30.6054706894089, -93.737502814493 30.3668030868688, -93.6644840156646 30.3001404892123, -93.6671195137116 30.1006436223497, -93.8168778144934 29.9683519556824, -93.9184736803791 29.8217717554866, -93.84842 29.7136300000001, -93.6929075 29.7311600000001, -93.537395 29.7486900000001, -93.3818825 29.7662200000001, -93.22637 29.7837500000001, -93.0445425 29.7258875000001, -92.862715 29.6680250000001, -92.6808875 29.6101625000001, -92.49906 29.5523000000001, -92.28099125 29.5834750000001, -92.0629225 29.6146500000001, -91.8448537499999 29.6458250000001, -91.6267849999999 29.6770000000001, -91.4401449999999 29.5448837500001, -91.2535049999999 29.4127675, -91.066865 29.28065125, -90.880225 29.148535, -90.69882625 29.14075875, -90.5174274999999 29.1329825, -90.3360287499999 29.1252062500001, -90.1546299999999 29.1174300000001, -89.9669549999999 29.212285, -89.7792799999999 29.30714, -89.5938336069449 29.2334554098057, -89.4083872138898 29.1597708196114, -89.21767 29.2910800000001, -89.323835 29.38986, -89.43 29.48864, -89.4137349999999 29.89419, -89.5037185636781 30.0271163529545, -89.5937021273564 30.160042705909, -89.5938311784197 30.1599940048368, -89.5939291390298 30.1603780541948, -89.6047059801666 30.1762979192249, -89.6232319811432 30.2752582870638, -89.6586820136955 30.4408812525593, -89.7904569160397 30.5567914901899, -89.8539414131103 30.6832437200081, -89.7877955797767 30.8472905543186, -89.7592185127193 31.0134561223533, -89.9948307462001 31.0139858057843, -90.2304429796808 31.0145154892153, -90.4660552131616 31.0150451726462, -90.7016674466423 31.0155748560772, -90.9221966214479 31.023513647988, -91.1427257962534 31.0314524398988, -91.363254971059 31.0393912318097, -91.5837841458646 31.0473300237205, -91.6245310127268 31.2970822209871, -91.5022904121404 31.4087291529538, -91.4112882148743 31.6500322535407, -91.3213195462542 31.8595801864843, -91.1281788805633 32.0156946884379, -91.0816184150684 32.2045978866809, -90.9429705472292 32.3067363551057, -91.0720841133105 32.4787155217732, -91.0308204821255 32.6025322535444, -91.1757987129203 32.8083853215792, -91.0847965156543 32.952846788051, -91.1562391832978 33.0100009221659, -91.3675053576151 33.0184693975077, -91.5787715319324 33.0269378728495, -91.7900377062496 33.0354063481913, -92.0013038805669 33.0438748235331, -92.2744848803238 33.035535539272, -92.5476658800808 33.0271962550109, -92.8208468798377 33.0188569707499, -93.0940278795946 33.0105176864888, -93.3354601712623 33.010918178839, -93.5768924629299 33.0113186711893, -93.8183247545976 33.0117191635396, -94.0597570462652 33.0121196558898, -94.0293325467533 32.4773848536415))",US.LA,22,22,45923.687,100.2,0400000US22,4601049,3610029,61.1,55.5,8.7,1718876,44991,63565
North Dakota,ND|N.D.,"POLYGON((-97.4415031476581 49.0010177425016, -97.6540628476711 49.0011501633594, -97.8666225476842 49.0012825842171, -98.0791822476972 49.0014150050749, -98.2917419477103 49.0015474259327, -98.5043016477234 49.0016798467904, -98.7168613477364 49.0018122676481, -98.9294210477495 49.0019446885059, -99.1419807477626 49.0020771093637, -99.3545404477756 49.0022095302214, -99.5671001477887 49.0023419510791, -99.7796598478018 49.0024743719369, -99.9922195478148 49.0026067927947, -100.204779247828 49.0027392136524, -100.417338947841 49.0028716345102, -100.629898647854 49.0030040553679, -100.846327620735 49.0031687739958, -101.062756593616 49.0033334926238, -101.279185566497 49.0034982112517, -101.495614539378 49.0036629298796, -101.712043512259 49.0038276485075, -101.92847248514 49.0039923671355, -102.144901458021 49.0041570857634, -102.361330430902 49.0043218043913, -102.577759403782 49.0044865230192, -102.794188376663 49.0046512416472, -103.010617349544 49.0048159602751, -103.227046322425 49.004980678903, -103.443475295306 49.0051453975309, -103.659904268187 49.0053101161589, -103.876333241068 49.0054748347868, -104.092762213949 49.0056395534147, -104.085088263754 48.0886025050712, -104.077414313558 47.1715654567277, -104.052015347086 46.5640831569206, -104.026616380615 45.9566008571135, -103.787897101643 45.9571951360848, -103.54917782267 45.9577894150562, -103.310458543698 45.9583836940275, -103.071739264725 45.9589779729989, -102.833019985753 45.9595722519703, -102.594300706781 45.9601665309416, -102.355581427808 45.9607608099129, -102.116862148836 45.9613550888843, -101.860611640209 45.9618815425383, -101.604361131581 45.9624079961923, -101.348110622954 45.9629344498462, -101.091860114327 45.9634609035002, -100.8356096057 45.9639873571542, -100.579359097073 45.9645138108081, -100.323108588445 45.9650402644621, -100.066858079818 45.9655667181161, -99.8637244840327 45.9653018764006, -99.6605908882473 45.9650370346851, -99.457457292462 45.9647721929696, -99.2543236966767 45.9645073512541, -99.0511901008913 45.9642425095386, -98.848056505106 45.9639776678231, -98.6449229093206 45.9637128261076, -98.4417893135353 45.9634479843921, -98.2039969805672 45.9702628139006, -97.9662046475992 45.9770776434091, -97.7284123146311 45.9838924729176, -97.490619981663 45.9907073024261, -97.252827648695 45.9975221319347, -97.0150353157269 46.0043369614432, -96.7772429827588 46.0111517909517, -96.5394506497908 46.0179666204602, -96.5389080472517 46.1994800888854, -96.6013590156764 46.3513571233911, -96.6854882474476 46.5132852239777, -96.7336506823436 46.7164769557493, -96.7458204821483 46.9445250514533, -96.7796943835156 46.9990436875213, -96.8204154121617 47.2922040879131, -96.8246528796096 47.4266144883043, -96.8442382474482 47.5461937526277, -96.8939768135291 47.7488687200764, -97.0151580472535 47.9542050237881, -97.1310424466681 48.1372946233982, -97.1485090807827 48.3187822536073, -97.1612214831265 48.5145842555612, -97.1273475817592 48.6421216904576, -97.1204746162644 48.758522854195, -97.2141381497934 48.9024417181279, -97.228943447645 49.0008853216439, -97.4415031476581 49.0010177425016))",US.ND,38,38,70487.528,10,0400000US38,704925,563755,70.5,67.4,3.1,292616,55579,73272
Colorado,CO|Colo.,"POLYGON((-102.050173712964 40.0330864527929, -102.04805497924 41.0041124537734, -102.297690904534 41.0041124537734, -102.547326829828 41.0041124537734, -102.796962755122 41.0041124537734, -103.046598680416 41.0041124537734, -103.29623460571 41.0041124537734, -103.545870531004 41.0041124537734, -103.795506456298 41.0041124537734, -104.045142381592 41.0041124537734, -104.232929691875 41.0040139455743, -104.420717002158 41.0039154373753, -104.608504312441 41.0038169291762, -104.796291622724 41.0037184209772, -104.984078933008 41.0036199127781, -105.171866243291 41.0035214045791, -105.359653553574 41.00342289638, -105.547440863857 41.0033243881809, -105.73522817414 41.0032258799819, -105.923015484423 41.0031273717828, -106.110802794706 41.0030288635838, -106.29859010499 41.0029303553847, -106.486377415273 41.0028318471857, -106.674164725556 41.0027333389866, -106.861952035839 41.0026348307876, -107.049739346122 41.0025363225885, -107.300040605482 41.0025363225885, -107.550341864841 41.0025363225885, -107.800643124201 41.0025363225885, -108.050944383561 41.0025363225885, -108.301504025082 41.0024006719537, -108.552063666603 41.0022650213189, -108.802623308124 41.0021293706842, -109.053182949645 41.0019937200494, -109.049203864359 39.0009530706273, -109.045224779073 36.9999124212052, -108.849568117085 36.9999124212052, -108.653911455097 36.9999124212052, -108.458254793109 36.9999124212052, -108.262598131121 36.9999124212053, -108.066941469132 36.9999124212053, -107.871284807144 36.9999124212053, -107.675628145156 36.9999124212053, -107.479971483168 36.9999124212053, -107.282457699394 36.9995829839495, -107.084943915621 36.9992535466936, -106.887430131847 36.9989241094378, -106.689916348073 36.9985946721819, -106.4924025643 36.9982652349261, -106.294888780526 36.9979357976702, -106.097374996753 36.9976063604144, -105.899861212979 36.9972769231585, -105.687403250942 36.9971412725237, -105.474945288905 36.9970056218889, -105.262487326868 36.9968699712541, -105.050029364831 36.9967343206194, -104.837571402794 36.9965986699846, -104.625113440757 36.9964630193498, -104.41265547872 36.996327368715, -104.200197516683 36.9961917180802, -104.050574866536 36.9960625269995, -103.900952216389 36.9959333359187, -103.751329566242 36.995804144838, -103.601706916095 36.9956749537573, -103.452084265948 36.9955457626766, -103.302461615801 36.9954165715959, -103.152838965654 36.9952873805151, -103.003216315507 36.9951581894344, -102.762707740067 36.9943636642879, -102.522199164626 36.9935691391414, -102.281690589186 36.992774613995, -102.041182013745 36.9919800888485, -102.040122646883 38.4598749863153, -102.050173712964 40.0008145208266, -102.050173712964 40.0330864527929))",US.CO,8,8,104586.323,49.7,0400000US08,5197580,4094922,68.7,62.5,7.9,1998314,59448,79990
